host,stellar_r,stellar_m,inj_period,inj_rp_earth,inj_rp_rs,inj_depth_ppm,inj_impact,inj_snr,n_transits,rec_period,rec_sde,rec_depth_ppm,tls_recovered,clf_probability,clf_recovered,error
TIC 461387302,1.26669,1.287,5.328267798400374,0.8,0.005790209127726595,40.969313489847,0.1,0.6956146135866722,4,0.8362397275500181,4.23062434711929,180.5248717966501,0,0.04438028151936674,0,
TIC 461387302,1.26669,1.287,5.328267798400374,0.8,0.005790209127726595,38.62370556428907,0.5,0.6557887289970471,4,0.8362397275500181,4.2262494549118355,180.59834506456428,0,0.04438028151936674,0,
TIC 461387302,1.26669,1.287,5.328267798400374,1.5,0.010856642114487364,144.03067498114376,0.1,2.4454850176209293,4,3.145004925893159,4.964928387296486,228.90416830667615,0,0.06517490311246438,0,
TIC 461387302,1.26669,1.287,5.328267798400374,1.5,0.010856642114487364,135.80660520073894,0.5,2.305849211328402,4,7.160308321432443,4.148698562527072,327.96718638561373,0,0.07205622726704278,0,
TIC 461387302,1.26669,1.287,5.328267798400374,2.5,0.018094403524145607,399.9349959364906,0.1,6.79046349475914,4,5.338933285701366,5.657990202219556,363.25583692708994,0,0.10275630634740432,0,
TIC 461387302,1.26669,1.287,5.328267798400374,2.5,0.018094403524145607,377.17914185775305,0.5,6.4040937147105055,4,5.321611580265562,6.061685549968386,422.0112142456767,0,0.13413535963004444,0,
TIC 461387302,1.26669,1.287,5.328267798400374,4.0,0.028951045638632975,1024.1659667620252,0.1,17.389229951200903,4,5.321611580265562,11.775984781131166,1066.8741654773494,1,0.7221024345477225,1,
TIC 461387302,1.26669,1.287,5.328267798400374,4.0,0.028951045638632975,965.3466157800716,0.5,16.39054101503237,4,5.321611580265562,13.23751405077186,1070.001045922142,1,0.8976719384317151,1,
TIC 461387302,1.26669,1.287,5.328267798400374,6.0,0.043426568457949455,2303.680845910039,0.1,39.11400814299352,4,5.338933285701366,15.652172062265894,2465.69452560641,1,0.7670086328755815,1,
TIC 461387302,1.26669,1.287,5.328267798400374,6.0,0.043426568457949455,2171.8013874578724,0.5,36.87483763421851,4,5.321611580265562,17.17351287794702,2248.253170643144,1,0.8928473922291618,1,
TIC 461387302,1.26669,1.287,5.328267798400374,9.0,0.06513985268692418,5181.200995450386,0.1,87.97118675806645,4,5.321611580265562,20.055393051701568,4975.078480417228,1,0.5869198155086447,1,
TIC 461387302,1.26669,1.287,5.328267798400374,9.0,0.06513985268692418,4884.531330918151,0.5,82.93405685576481,4,5.321611580265562,19.13054314434874,4868.548330575928,1,0.3646922614496364,0,
TIC 461387302,1.26669,1.287,5.328267798400374,13.0,0.09409089832555716,10808.576773215007,0.1,183.51793855137683,4,5.321611580265562,26.990104495758963,10741.018587594686,1,0.3245937866444796,0,
TIC 461387302,1.26669,1.287,5.328267798400374,13.0,0.09409089832555716,10180.230745501673,0.5,172.8493028815395,4,5.321611580265562,26.47667030458916,9371.40051730434,1,0.38553747605553107,0,
TIC 461387302,1.26669,1.287,7.996199946274763,0.8,0.005790209127726595,40.96825665500514,0.1,0.6073887973196972,2,7.160308321432443,4.170940613747954,327.96718638561373,0,0.07205622726704278,0,
TIC 461387302,1.26669,1.287,7.996199946274763,0.8,0.005790209127726595,38.5642070303005,0.5,0.5717467434597405,2,7.160308321432443,4.173450764414563,327.96718638561373,0,0.07205622726704278,0,
TIC 461387302,1.26669,1.287,7.996199946274763,1.5,0.010856642114487364,144.03135576190886,0.1,2.13538576193877,2,0.8362397275500181,4.0400866784935054,180.11731642120222,0,0.044230902527770975,0,
TIC 461387302,1.26669,1.287,7.996199946274763,1.5,0.010856642114487364,135.79553713516378,0.5,2.013282836916436,2,3.909427567867507,4.302071631599912,278.0155548219865,0,0.07513706806339887,0,
TIC 461387302,1.26669,1.287,7.996199946274763,2.5,0.018094403524145607,400.082256760137,0.1,5.931555321205049,2,8.019051320121173,8.25060778092521,475.9556276175969,1,0.11925330838368281,0,
TIC 461387302,1.26669,1.287,7.996199946274763,2.5,0.018094403524145607,377.23437611980603,0.5,5.592816310162967,2,7.160308321432443,4.2970969505317775,327.96718638561373,0,0.07205622726704278,0,
TIC 461387302,1.26669,1.287,7.996199946274763,4.0,0.028951045638632975,1023.8499713163262,0.1,15.179435335763905,2,7.989265322613934,9.889613211144688,1064.3773210361474,1,0.6776273275720317,1,
TIC 461387302,1.26669,1.287,7.996199946274763,4.0,0.028951045638632975,965.5924116853676,0.5,14.31571810764247,2,7.989265322613934,11.735028487401426,853.4429379448704,1,0.7253614805896673,1,
TIC 461387302,1.26669,1.287,7.996199946274763,6.0,0.043426568457949455,2304.1238162160303,0.1,34.16056986247539,2,7.989265322613934,15.383682823026888,2377.55752916613,1,0.8044957946095284,1,
TIC 461387302,1.26669,1.287,7.996199946274763,6.0,0.043426568457949455,2172.1802199324848,0.5,32.204395282346965,2,7.989265322613934,15.531656242709172,2043.0496820897924,1,0.872281463304764,1,
TIC 461387302,1.26669,1.287,7.996199946274763,9.0,0.06513985268692418,5179.733490796479,0.1,76.79389733141271,2,7.989265322613934,20.659259181793118,5111.025672573377,1,0.28895452834693586,0,
TIC 461387302,1.26669,1.287,7.996199946274763,9.0,0.06513985268692418,4884.655538094363,0.5,72.41911896784764,2,7.989265322613934,20.28462931917214,4762.080906989819,1,0.5480938335006565,1,
TIC 461387302,1.26669,1.287,7.996199946274763,13.0,0.09409089832555716,10801.725755217318,0.1,160.14465225327322,2,7.989265322613934,24.68699242798661,10922.265236788076,1,0.19094767703649917,0,
TIC 461387302,1.26669,1.287,7.996199946274763,13.0,0.09409089832555716,10183.10318599991,0.5,150.97305333765576,2,7.989265322613934,24.361223757530293,9135.967473402396,1,0.4158918100851733,0,
TIC 461387302,1.26669,1.287,12.0,0.8,0.005790209127726595,40.966211434345645,0.1,0.5304039012101353,1,7.160308321432443,4.12755961150328,307.8109311498434,0,0.07970695943894777,0,
